Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"SIEMENS","2,273.80","2,469.95","2,271.60","2,443.00","171.40","7.55","33.76","820.33","2,469.95","1,441.15","56.11","1.43"
"DLF","398.00","422.00","395.65","417.90","19.30","4.84","132.51","543.75","449.70","206.35","96.94","-4.46"
"BAJAJHLDNG","5,400.00","5,660.00","5,400.00","5,651.00","183.15","3.35","0.48","26.15","5,660.00","2,850.20","84.07","12.60"
"PNB","39.50","41.05","39.25","40.80","1.30","3.29","522.45","209.66","48.20","31.40","3.55","-4.90"
"YESBANK","14.20","14.65","14.05","14.45","0.45","3.21","2,870.17","412.73","20.75","10.50","-23.95","10.31"
"BERGEPAINT","745.80","765.00","740.90","762.00","19.55","2.63","8.79","66.71","872.95","664.00","12.40","-1.67"
"PIDILITIND","2,280.35","2,340.25","2,270.25","2,318.95","56.20","2.48","17.78","412.31","2,532.00","1,612.30","43.10","-3.06"
"BANKBARODA","92.20","94.70","91.15","94.25","2.00","2.17","339.83","316.56","108.00","56.20","43.67","-11.38"
"GODREJCP","926.20","945.75","923.05","941.00","13.30","1.43","18.48","173.66","1,138.00","646.15","33.48","-2.01"
"CADILAHC","461.90","471.00","461.90","467.50","5.10","1.10","15.51","72.55","673.70","408.35","-0.10","-6.20"
"ADANIENT","1,710.60","1,788.00","1,710.60","1,739.95","17.70","1.03","27.09","475.55","1,788.90","409.65","287.43","6.39"
"JINDALSTEL","387.90","398.40","385.70","394.45","3.50","0.90","69.16","271.36","501.70","244.85","52.83","-4.56"
"GAIL","134.25","135.90","133.45","135.30","1.05","0.78","61.51","83.03","171.30","112.55","10.45","-10.19"
"NMDC","147.00","148.45","146.60","148.15","1.10","0.75","104.77","154.58","213.20","103.65","38.39","0.24"
"GLAND","3,593.90","3,619.85","3,561.30","3,600.00","21.25","0.59","0.45","16.32","4,350.00","2,071.00","57.93","-0.67"
"HINDPETRO","303.15","309.40","303.15","307.00","1.55","0.51","16.42","50.41","354.80","203.90","40.63","-10.90"
"BOSCHLTD","16,690.00","16,960.95","16,630.00","16,763.85","80.95","0.49","0.15","25.93","19,250.00","11,910.00","24.09","-10.65"
"VEDL","347.00","352.50","346.00","349.85","1.40","0.40","87.71","306.66","385.90","130.00","143.71","9.81"
"PEL","2,640.00","2,661.00","2,611.00","2,645.10","9.40","0.36","3.14","82.90","3,014.95","1,282.95","80.41","-4.61"
"SAIL","111.10","112.75","110.05","112.10","0.30","0.27","317.74","353.87","151.30","53.00","104.94","-9.12"
"IGL","500.60","506.00","498.40","501.85","1.25","0.25","10.39","52.15","602.05","451.65","3.87","1.59"
"LTI","6,610.00","6,629.95","6,464.10","6,615.00","8.90","0.13","3.80","248.71","7,564.95","3,211.10","102.55","-3.28"
"CHOLAFIN","570.00","581.80","570.00","578.00","0.40","0.07","9.29","53.72","667.40","345.15","56.24","-9.69"
"HAVELLS","1,389.00","1,398.00","1,376.10","1,390.00","1.00","0.07","8.87","123.10","1,504.45","819.00","68.72","4.76"
"APOLLOHOSP","5,265.00","5,328.40","5,230.50","5,235.00","2.20","0.04","4.16","219.38","5,935.40","2,251.00","114.31","15.49"
"AMBUJACEM","377.60","381.35","376.65","377.70","0.15","0.04","14.87","56.30","442.50","225.95","49.38","-12.42"
"ICICIGI","1,443.30","1,446.45","1,432.40","1,437.00","-0.60","-0.04","3.44","49.46","1,675.00","1,295.00","-1.13","-4.77"
"COLPAL","1,456.00","1,456.00","1,434.65","1,441.50","-2.35","-0.16","6.45","93.01","1,823.40","1,414.00","-8.06","-6.35"
"DABUR","582.00","583.65","575.50","578.45","-1.30","-0.22","12.58","72.81","658.95","492.55","15.19","-4.10"
"AUROPHARMA","708.80","714.00","703.00","703.20","-2.05","-0.29","18.81","132.97","1,063.90","620.50","-20.83","3.87"
"ADANIGREEN","1,395.00","1,410.00","1,381.35","1,386.00","-4.10","-0.29","7.58","105.50","1,429.00","874.80","29.52","12.61"
"ACC","2,319.00","2,330.20","2,302.00","2,312.00","-8.00","-0.34","2.02","46.74","2,589.00","1,485.00","39.56","-8.92"
"ICICIPRULI","583.00","583.00","575.50","577.90","-2.10","-0.36","12.83","74.23","724.30","418.50","18.70","-11.27"
"DMART","4,798.00","4,809.70","4,775.50","4,799.00","-22.20","-0.46","1.74","83.18","5,900.00","2,460.80","82.80","0.88"
"BIOCON","372.95","378.00","370.40","371.25","-1.70","-0.46","17.32","64.68","487.75","314.80","-17.67","6.99"
"LUPIN","885.00","894.45","880.60","883.00","-4.55","-0.51","6.57","58.19","1,267.65","853.50","-7.11","-5.80"
