Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"IBREALEST","170.00","181.70","168.70","179.10","9.90","5.85","224.77","393.75","195.90","63.10","160.13","-6.25"
"DLF","398.00","422.00","395.65","417.90","19.30","4.84","132.51","543.75","449.70","206.35","96.94","-4.46"
"OBEROIRLTY","872.00","909.80","870.60","907.90","31.20","3.56","11.59","103.56","1,051.90","490.00","70.27","-10.47"
"GODREJPROP","2,045.00","2,108.00","2,026.05","2,094.00","49.65","2.43","10.57","218.93","2,598.00","1,200.00","65.38","-13.51"
"PHOENIXLTD","1,025.00","1,041.25","996.65","1,034.00","14.75","1.45","1.47","14.98","1,195.00","652.80","36.17","-5.09"
"PRESTIGE","465.00","479.00","447.00","470.30","2.80","0.60","8.28","39.02","522.00","247.85","60.73","-8.65"
"SOBHA","894.50","918.00","887.00","900.50","3.45","0.38","8.18","73.71","980.00","297.05","178.62","-0.72"
"BRIGADE","492.50","496.10","488.00","494.50","0.05","0.01","1.75","8.62","528.80","219.80","113.88","0.08"
"SUNTECK","439.50","444.20","432.00","435.00","-5.15","-1.17","3.42","15.04","524.40","250.00","33.07","-10.95"
"LODHA","1,449.00","1,450.05","1,400.00","1,404.00","-33.35","-2.32","2.09","29.63","1,539.00","422.60","-","-"
