Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"ASIANPAINT","3,184.00","3,292.00","3,178.70","3,279.00","100.30","3.16","25.54","834.06","3,505.00","2,260.00","30.00","4.26"
"GRASIM","1,715.00","1,757.20","1,715.00","1,746.00","23.25","1.35","9.69","169.36","1,893.00","863.35","89.73","-6.32"
"SBILIFE","1,161.00","1,177.80","1,156.80","1,176.20","14.85","1.28","9.49","110.79","1,273.90","825.20","37.09","-2.57"
"SBIN","488.50","495.95","484.40","494.80","6.15","1.26","132.61","649.33","542.30","248.25","83.02","-6.49"
"BPCL","393.50","397.90","391.00","397.20","3.45","0.88","22.83","90.42","503.00","357.00","0.52","-7.74"
"TCS","3,585.00","3,642.00","3,575.10","3,630.00","28.25","0.78","15.11","545.56","3,989.90","2,755.00","29.14","3.55"
"JSWSTEEL","670.00","681.45","670.00","679.00","4.90","0.73","24.31","164.58","776.50","344.00","87.65","0.35"
"M&M","850.10","868.60","850.10","856.95","5.85","0.69","34.34","295.98","979.00","660.25","13.50","-3.95"
"BAJAJFINSV","17,580.00","17,763.55","17,300.65","17,682.00","85.40","0.49","2.33","408.55","19,325.00","8,273.70","96.23","-2.70"
"HDFCLIFE","684.90","686.00","680.25","685.30","2.15","0.31","10.11","69.06","775.65","617.40","5.01","-2.99"
"ICICIBANK","756.50","759.80","751.05","757.35","2.35","0.31","76.28","576.09","867.00","488.20","48.06","-3.71"
"IOC","120.00","121.30","119.60","120.00","0.30","0.25","135.55","163.04","141.50","84.20","27.73","-14.10"
"ONGC","146.25","148.00","145.55","147.70","0.35","0.24","103.24","151.72","172.75","86.60","61.95","-5.71"
"ITC","236.20","238.95","233.75","235.90","0.50","0.21","351.63","830.48","265.30","196.90","14.85","3.13"
"HEROMOTOCO","2,520.70","2,544.80","2,512.90","2,525.00","4.05","0.16","3.27","82.72","3,629.05","2,408.90","-20.86","-6.98"
"NTPC","126.10","126.70","124.40","126.25","0.20","0.16","83.90","105.47","152.10","88.15","28.43","-8.84"
"BAJAJ-AUTO","3,320.20","3,364.20","3,320.00","3,344.60","3.60","0.11","2.20","73.72","4,361.40","3,172.00","1.15","-11.86"
"TATASTEEL","1,173.45","1,188.90","1,167.60","1,178.00","1.15","0.10","48.12","567.26","1,534.50","585.00","93.32","-11.82"
"SUNPHARMA","754.20","775.00","754.20","760.50","0.75","0.10","29.50","226.34","851.00","539.70","33.53","-5.10"
"RELIANCE","2,440.25","2,466.00","2,430.35","2,457.25","0.80","0.03","38.60","943.28","2,751.35","1,830.00","21.23","-2.56"
"BRITANNIA","3,623.90","3,642.00","3,604.40","3,623.75","-0.15","-0.00","1.90","69.11","4,153.00","3,317.30","-0.09","0.06"
"ULTRACEMCO","7,450.00","7,451.85","7,390.30","7,430.15","-3.70","-0.05","1.45","107.35","8,269.00","4,865.45","44.42","-9.01"
"BAJFINANCE","7,374.00","7,467.00","7,360.00","7,436.65","-3.65","-0.05","6.79","503.42","8,050.00","4,362.00","53.52","-1.86"
"SHREECEM","26,305.00","26,527.60","26,182.70","26,400.00","-16.50","-0.06","0.20","53.14","32,048.00","22,531.00","8.11","-9.68"
"MARUTI","7,380.00","7,475.00","7,357.95","7,416.00","-5.75","-0.08","4.32","320.71","8,368.00","6,400.00","-3.80","-2.13"
"TATAMOTORS","487.75","496.80","486.55","493.40","-0.55","-0.11","145.68","718.92","536.70","156.70","170.06","-3.19"
"CIPLA","895.00","901.00","891.00","893.30","-1.20","-0.13","9.48","84.90","1,005.00","738.10","17.17","-2.28"
"HDFCBANK","1,524.90","1,528.00","1,508.45","1,524.00","-2.85","-0.19","38.90","591.75","1,725.00","1,342.00","8.30","-3.07"
"DRREDDY","4,610.00","4,619.50","4,573.50","4,584.80","-9.45","-0.21","1.61","73.74","5,614.60","4,135.00","-9.34","-4.33"
"INDUSINDBK","960.00","968.00","938.00","944.00","-2.40","-0.25","66.05","627.70","1,242.00","789.00","1.67","-11.63"
"ADANIPORTS","768.85","794.95","763.00","767.50","-2.25","-0.29","100.50","783.86","901.00","427.20","65.45","4.09"
"HINDUNILVR","2,347.00","2,347.00","2,320.00","2,332.35","-7.40","-0.32","7.25","168.74","2,859.30","2,120.00","1.75","-4.06"
"HINDALCO","455.40","460.95","453.45","454.15","-1.50","-0.33","53.09","242.48","551.85","224.55","88.44","-2.25"
"NESTLEIND","19,221.00","19,310.00","19,030.45","19,219.00","-65.75","-0.34","0.39","75.67","20,609.15","16,002.10","9.39","1.47"
"INFY","1,760.00","1,763.75","1,746.00","1,757.05","-6.40","-0.36","18.23","319.90","1,848.00","1,148.20","49.51","0.84"
"POWERGRID","204.25","204.25","201.85","202.00","-1.20","-0.59","46.23","93.69","216.45","136.88","4.83","8.28"
"LT","1,879.80","1,890.85","1,861.05","1,868.25","-11.55","-0.61","17.72","332.53","1,981.75","1,154.00","58.19","-3.88"
"TECHM","1,611.00","1,611.20","1,578.55","1,601.00","-10.20","-0.63","17.76","283.59","1,638.25","890.00","72.24","2.68"
"BHARTIARTL","711.00","718.90","707.00","709.35","-4.60","-0.64","42.51","302.60","781.80","475.40","41.01","-0.54"
"HCLTECH","1,155.20","1,167.00","1,155.20","1,161.00","-7.55","-0.65","9.58","111.16","1,377.75","850.00","33.36","-1.01"
"EICHERMOT","2,532.20","2,552.00","2,516.50","2,525.20","-17.75","-0.70","3.26","82.47","3,037.00","2,303.70","-0.87","-7.31"
"WIPRO","642.15","645.90","635.10","638.40","-4.80","-0.75","42.63","272.53","739.85","347.10","77.58","-3.05"
"UPL","741.95","747.65","734.85","736.00","-6.20","-0.84","10.85","80.30","864.70","416.10","49.41","-1.39"
"COALINDIA","152.65","153.75","150.90","151.30","-1.35","-0.88","74.19","112.73","203.80","123.40","12.32","-11.26"
"AXISBANK","690.10","691.95","683.75","687.50","-6.45","-0.93","55.50","381.54","866.90","568.40","8.40","-7.72"
"KOTAKBANK","1,915.00","1,920.00","1,888.50","1,897.00","-19.35","-1.01","30.55","579.95","2,253.00","1,626.00","0.71","-9.55"
"TATACONSUM","781.65","781.95","765.35","769.50","-8.00","-1.03","14.13","108.78","889.00","551.00","36.07","-7.92"
"HDFC","2,823.30","2,838.25","2,788.50","2,809.30","-32.75","-1.15","34.56","972.37","3,021.10","2,267.00","21.79","-4.50"
"TITAN","2,385.40","2,385.40","2,296.30","2,337.00","-36.15","-1.52","22.88","531.93","2,677.90","1,396.00","63.87","-6.97"
"DIVISLAB","4,550.00","4,567.75","4,490.00","4,506.00","-70.95","-1.55","7.85","354.07","5,425.10","3,153.30","20.95","-8.99"
