Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY AUTO","11,002.80","11,127.50","10,997.45","11,080.05","21.30","0.19","330.13","2,016.83","30,892.40","4,632.70","19.23","-5.83"
"BHARATFORG","717.00","735.20","717.00","729.90","5.05","0.70","8.63","62.99","847.95","492.10","33.07","-12.49"
"M&M","850.10","868.60","850.10","856.95","5.85","0.69","34.34","295.98","979.00","660.25","13.50","-3.95"
"AMARAJABAT","640.10","649.00","639.10","643.00","3.90","0.61","7.58","48.92","1,025.55","607.70","-30.73","-9.06"
"BOSCHLTD","16,690.00","16,960.95","16,630.00","16,763.85","80.95","0.49","0.15","25.93","19,250.00","11,910.00","24.09","-10.65"
"BALKRISIND","2,222.00","2,270.00","2,222.00","2,250.90","7.50","0.33","1.93","43.40","2,723.80","1,515.50","34.94","-9.85"
"ASHOKLEY","127.75","128.55","126.70","127.75","0.30","0.24","89.50","114.31","153.50","87.25","33.98","-14.75"
"EXIDEIND","168.40","170.05","167.40","168.70","0.30","0.18","18.13","30.57","219.30","156.75","-12.48","-8.34"
"HEROMOTOCO","2,520.70","2,544.80","2,512.90","2,525.00","4.05","0.16","3.27","82.72","3,629.05","2,408.90","-20.86","-6.98"
"BAJAJ-AUTO","3,320.20","3,364.20","3,320.00","3,344.60","3.60","0.11","2.20","73.72","4,361.40","3,172.00","1.15","-11.86"
"MARUTI","7,380.00","7,475.00","7,357.95","7,416.00","-5.75","-0.08","4.32","320.71","8,368.00","6,400.00","-3.80","-2.13"
"TATAMOTORS","487.75","496.80","486.55","493.40","-0.55","-0.11","145.68","718.92","536.70","156.70","170.06","-3.19"
"TVSMOTOR","685.00","691.00","678.55","681.90","-2.75","-0.40","10.66","73.03","813.95","445.50","36.93","-6.77"
"MRF","74,055.00","75,000.00","74,000.00","74,250.00","-418.55","-0.56","0.05","35.92","98,599.95","72,954.80","-5.26","-5.42"
"EICHERMOT","2,532.20","2,552.00","2,516.50","2,525.20","-17.75","-0.70","3.26","82.47","3,037.00","2,303.70","-0.87","-7.31"
"TIINDIA","1,678.00","1,678.00","1,655.00","1,658.00","-16.45","-0.98","0.43","7.24","1,798.00","750.10","106.90","-0.07"
