Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"IDFCFIRSTB","49.45","52.50","49.00","51.90","2.40","4.85","592.34","303.99","69.30","32.90","34.28","-0.67"
"PNB","39.50","41.05","39.25","40.80","1.30","3.29","522.45","209.66","48.20","31.40","3.55","-4.90"
"FEDERALBNK","90.75","92.90","90.00","92.35","1.55","1.71","96.59","88.53","107.65","57.65","38.66","-9.51"
"SBIN","488.50","495.95","484.40","494.80","6.15","1.26","132.61","649.33","542.30","248.25","83.02","-6.49"
"ICICIBANK","756.50","759.80","751.05","757.35","2.35","0.31","76.28","576.09","867.00","488.20","48.06","-3.71"
"HDFCBANK","1,524.90","1,528.00","1,508.45","1,524.00","-2.85","-0.19","38.90","591.75","1,725.00","1,342.00","8.30","-3.07"
"INDUSINDBK","960.00","968.00","938.00","944.00","-2.40","-0.25","66.05","627.70","1,242.00","789.00","1.67","-11.63"
"RBLBANK","197.20","199.25","195.75","198.50","-0.55","-0.28","51.84","102.33","274.30","155.60","-16.17","-8.63"
"BANDHANBNK","283.20","283.40","278.40","280.00","-1.80","-0.64","40.60","113.84","430.70","259.25","-29.99","-8.77"
"AUBANK","1,167.00","1,171.00","1,146.25","1,156.15","-9.00","-0.77","4.80","55.85","1,389.85","720.45","25.82","-6.72"
"AXISBANK","690.10","691.95","683.75","687.50","-6.45","-0.93","55.50","381.54","866.90","568.40","8.40","-7.72"
"KOTAKBANK","1,915.00","1,920.00","1,888.50","1,897.00","-19.35","-1.01","30.55","579.95","2,253.00","1,626.00","0.71","-9.55"
