Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY ENERGY","23,340.15","23,463.50","23,285.80","23,429.95","21.65","0.09","767.01","2,410.38","30,892.40","4,632.70","37.12","-2.39"
"BPCL","393.50","397.90","391.00","397.20","3.45","0.88","22.83","90.42","503.00","357.00","0.52","-7.74"
"GAIL","134.25","135.90","133.45","135.30","1.05","0.78","61.51","83.03","171.30","112.55","10.45","-10.19"
"IOC","120.00","121.30","119.60","120.00","0.30","0.25","135.55","163.04","141.50","84.20","27.73","-14.10"
"ONGC","146.25","148.00","145.55","147.70","0.35","0.24","103.24","151.72","172.75","86.60","61.95","-5.71"
"NTPC","126.10","126.70","124.40","126.25","0.20","0.16","83.90","105.47","152.10","88.15","28.43","-8.84"
"RELIANCE","2,440.25","2,466.00","2,430.35","2,457.25","0.80","0.03","38.60","943.28","2,751.35","1,830.00","21.23","-2.56"
"TATAPOWER","226.40","229.90","225.40","227.65","-0.05","-0.02","263.63","600.21","267.85","66.40","211.21","-5.89"
"ADANIGREEN","1,395.00","1,410.00","1,381.35","1,386.00","-4.10","-0.29","7.58","105.50","1,429.00","874.80","29.52","12.61"
"ADANITRANS","1,860.00","1,900.00","1,860.00","1,870.00","-10.55","-0.56","3.94","74.02","2,045.00","381.55","1044.43","0.55"
"POWERGRID","204.25","204.25","201.85","202.00","-1.20","-0.59","46.23","93.69","216.45","136.88","4.83","8.28"
