Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"M&MFIN","165.90","168.00","164.00","167.30","2.25","1.36","25.16","41.82","224.30","138.55","-4.97","-17.38"
"SBILIFE","1,161.00","1,177.80","1,156.80","1,176.20","14.85","1.28","9.49","110.79","1,273.90","825.20","37.09","-2.57"
"SBIN","488.50","495.95","484.40","494.80","6.15","1.26","132.61","649.33","542.30","248.25","83.02","-6.49"
"SRTRANSFIN","1,500.00","1,517.05","1,475.55","1,502.55","8.50","0.57","5.49","82.10","1,696.40","918.10","41.44","-7.02"
"BAJAJFINSV","17,580.00","17,763.55","17,300.65","17,682.00","85.40","0.49","2.33","408.55","19,325.00","8,273.70","96.23","-2.70"
"PEL","2,640.00","2,661.00","2,611.00","2,645.10","9.40","0.36","3.14","82.90","3,014.95","1,282.95","80.41","-4.61"
"ICICIBANK","756.50","759.80","751.05","757.35","2.35","0.31","76.28","576.09","867.00","488.20","48.06","-3.71"
"HDFCLIFE","684.90","686.00","680.25","685.30","2.15","0.31","10.11","69.06","775.65","617.40","5.01","-2.99"
"CHOLAFIN","570.00","581.80","570.00","578.00","0.40","0.07","9.29","53.72","667.40","345.15","56.24","-9.69"
"ICICIGI","1,443.30","1,446.45","1,432.40","1,437.00","-0.60","-0.04","3.44","49.46","1,675.00","1,295.00","-1.13","-4.77"
"BAJFINANCE","7,374.00","7,467.00","7,360.00","7,436.65","-3.65","-0.05","6.79","503.42","8,050.00","4,362.00","53.52","-1.86"
"RECLTD","135.15","136.95","134.20","136.50","-0.25","-0.18","91.20","123.32","168.85","122.15","0.48","-10.64"
"HDFCBANK","1,524.90","1,528.00","1,508.45","1,524.00","-2.85","-0.19","38.90","591.75","1,725.00","1,342.00","8.30","-3.07"
"ICICIPRULI","583.00","583.00","575.50","577.90","-2.10","-0.36","12.83","74.23","724.30","418.50","18.70","-11.27"
"PFC","123.50","124.15","122.35","123.35","-1.15","-0.92","43.67","53.76","153.75","104.10","4.18","-11.29"
"AXISBANK","690.10","691.95","683.75","687.50","-6.45","-0.93","55.50","381.54","866.90","568.40","8.40","-7.72"
"KOTAKBANK","1,915.00","1,920.00","1,888.50","1,897.00","-19.35","-1.01","30.55","579.95","2,253.00","1,626.00","0.71","-9.55"
"HDFCAMC","2,591.30","2,591.30","2,545.15","2,552.00","-25.95","-1.01","2.14","54.80","3,365.00","2,425.20","-9.24","-4.52"
"MUTHOOTFIN","1,508.00","1,516.00","1,489.15","1,493.60","-15.90","-1.05","2.49","37.31","1,721.95","1,090.00","25.47","-8.31"
"HDFC","2,823.30","2,838.25","2,788.50","2,809.30","-32.75","-1.15","34.56","972.37","3,021.10","2,267.00","21.79","-4.50"
