Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY FMCG","38,287.15","38,337.40","37,986.85","38,189.55","-12.10","-0.03","446.01","1,901.82","42,021.45","4,632.70","15.29","-1.99"
"UBL","1,565.30","1,608.00","1,562.20","1,592.90","24.20","1.54","3.56","56.67","1,785.80","1,038.60","39.73","-10.44"
"GODREJCP","926.20","945.75","923.05","941.00","13.30","1.43","18.48","173.66","1,138.00","646.15","33.48","-2.01"
"EMAMILTD","531.00","534.70","524.80","533.50","5.10","0.97","1.75","9.28","621.80","393.80","25.90","-6.40"
"ITC","236.20","238.95","233.75","235.90","0.50","0.21","351.63","830.48","265.30","196.90","14.85","3.13"
"BRITANNIA","3,623.90","3,642.00","3,604.40","3,623.75","-0.15","-0.00","1.90","69.11","4,153.00","3,317.30","-0.09","0.06"
"COLPAL","1,456.00","1,456.00","1,434.65","1,441.50","-2.35","-0.16","6.45","93.01","1,823.40","1,414.00","-8.06","-6.35"
"DABUR","582.00","583.65","575.50","578.45","-1.30","-0.22","12.58","72.81","658.95","492.55","15.19","-4.10"
"HINDUNILVR","2,347.00","2,347.00","2,320.00","2,332.35","-7.40","-0.32","7.25","168.74","2,859.30","2,120.00","1.75","-4.06"
"NESTLEIND","19,221.00","19,310.00","19,030.45","19,219.00","-65.75","-0.34","0.39","75.67","20,609.15","16,002.10","9.39","1.47"
"MCDOWELL-N","929.70","934.65","921.55","925.00","-4.95","-0.53","13.54","125.68","1,019.95","507.50","58.44","-7.91"
"VBL","895.00","898.20","880.70","888.95","-4.95","-0.55","2.21","19.66","1,016.00","569.37","-2.02","-7.99"
"MARICO","529.30","531.55","522.30","526.10","-3.55","-0.67","10.53","55.27","607.70","379.10","32.05","-6.76"
"PGHH","15,234.00","15,433.00","15,000.00","15,000.00","-131.20","-0.87","0.18","27.21","15,530.55","10,743.35","37.60","4.15"
"RADICO","1,120.00","1,120.35","1,091.95","1,107.00","-11.15","-1.00","1.43","15.79","1,214.80","422.00","139.69","-0.02"
"TATACONSUM","781.65","781.95","765.35","769.50","-8.00","-1.03","14.13","108.78","889.00","551.00","36.07","-7.92"
