Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY IT","35,820.05","35,974.75","35,652.20","35,939.60","-6.75","-0.02","117.69","2,260.32","37,823.15","4,632.70","57.61","0.35"
"COFORGE","5,240.00","5,338.75","5,220.00","5,314.95","44.70","0.85","1.73","91.55","6,030.00","2,300.00","111.95","-1.24"
"TCS","3,585.00","3,642.00","3,575.10","3,630.00","28.25","0.78","15.11","545.56","3,989.90","2,755.00","29.14","3.55"
"LTI","6,610.00","6,629.95","6,464.10","6,615.00","8.90","0.13","3.80","248.71","7,564.95","3,211.10","102.55","-3.28"
"MPHASIS","3,110.00","3,150.00","3,107.00","3,125.00","-7.95","-0.25","1.98","61.97","3,659.75","1,301.00","137.47","-7.36"
"INFY","1,760.00","1,763.75","1,746.00","1,757.05","-6.40","-0.36","18.23","319.90","1,848.00","1,148.20","49.51","0.84"
"LTTS","5,380.00","5,409.80","5,236.95","5,353.00","-31.60","-0.59","1.51","80.59","5,820.80","1,803.00","190.90","5.09"
"TECHM","1,611.00","1,611.20","1,578.55","1,601.00","-10.20","-0.63","17.76","283.59","1,638.25","890.00","72.24","2.68"
"HCLTECH","1,155.20","1,167.00","1,155.20","1,161.00","-7.55","-0.65","9.58","111.16","1,377.75","850.00","33.36","-1.01"
"WIPRO","642.15","645.90","635.10","638.40","-4.80","-0.75","42.63","272.53","739.85","347.10","77.58","-3.05"
"MINDTREE","4,590.00","4,624.00","4,526.00","4,570.00","-42.10","-0.91","5.36","244.76","5,060.00","1,399.70","213.87","-5.10"
