Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NETWORK18","94.20","113.00","91.30","109.35","15.15","16.08","514.30","537.29","113.00","34.50","196.34","21.64"
"TV18BRDCST","45.00","50.75","44.50","48.90","4.30","9.64","720.42","350.27","52.50","26.25","54.75","6.42"
"DISHTV","20.70","20.70","20.00","20.65","0.90","4.56","108.37","22.29","23.35","8.70","-","-"
"HATHWAY","22.50","23.70","22.20","22.95","0.65","2.91","219.12","50.68","36.70","19.60","-35.44","9.03"
"SAREGAMA","4,970.00","5,120.00","4,835.00","5,094.60","115.85","2.33","0.13","6.74","5,120.00","694.95","3294.14","16.21"
"SUNTV","542.15","553.50","540.75","548.95","6.80","1.25","14.83","81.14","612.00","440.20","15.59","-5.53"
"ZEEL","368.95","373.50","366.40","369.30","1.35","0.37","148.12","548.73","373.50","166.80","71.33","13.77"
"NAZARA","2,329.15","2,355.00","2,310.00","2,330.00","0.85","0.04","0.15","3.43","3,356.00","1,432.00","-","-"
"PVR","1,490.00","1,498.00","1,460.00","1,465.00","-23.20","-1.56","8.31","122.78","1,839.00","988.35","-1.55","-18.29"
"INOXLEISUR","406.95","407.00","397.35","398.90","-9.90","-2.42","4.93","19.75","466.00","244.00","36.70","-9.79"
