Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"HINDCOPPER","123.10","132.65","122.85","131.25","6.95","5.59","59.15","75.80","196.75","43.40","181.35","-1.39"
"APLAPOLLO","930.00","991.90","929.75","986.00","43.20","4.58","10.97","107.14","1,044.70","325.13","-74.06","11.58"
"WELCORP","176.80","185.40","176.80","183.30","5.30","2.98","55.41","101.34","185.40","105.85","45.36","38.18"
"RATNAMANI","1,959.00","2,025.00","1,959.00","2,009.00","44.10","2.24","0.25","5.03","2,305.30","1,451.20","25.57","-7.68"
"ADANIENT","1,710.60","1,788.00","1,710.60","1,739.95","17.70","1.03","27.09","475.55","1,788.90","409.65","287.43","6.39"
"JINDALSTEL","387.90","398.40","385.70","394.45","3.50","0.90","69.16","271.36","501.70","244.85","52.83","-4.56"
"NMDC","147.00","148.45","146.60","148.15","1.10","0.75","104.77","154.58","213.20","103.65","38.39","0.24"
"JSWSTEEL","670.00","681.45","670.00","679.00","4.90","0.73","24.31","164.58","776.50","344.00","87.65","0.35"
"VEDL","347.00","352.50","346.00","349.85","1.40","0.40","87.71","306.66","385.90","130.00","143.71","9.81"
"SAIL","111.10","112.75","110.05","112.10","0.30","0.27","317.74","353.87","151.30","53.00","104.94","-9.12"
"TATASTEEL","1,173.45","1,188.90","1,167.60","1,178.00","1.15","0.10","48.12","567.26","1,534.50","585.00","93.32","-11.82"
"HINDALCO","455.40","460.95","453.45","454.15","-1.50","-0.33","53.09","242.48","551.85","224.55","88.44","-2.25"
"HINDZINC","368.00","368.25","363.30","365.70","-1.50","-0.41","13.46","49.14","408.60","224.80","50.40","15.36"
"COALINDIA","152.65","153.75","150.90","151.30","-1.35","-0.88","74.19","112.73","203.80","123.40","12.32","-11.26"
"NATIONALUM","99.50","101.25","97.65","98.75","-1.05","-1.05","266.32","264.37","127.95","37.35","134.56","-3.19"
