Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NETWORK18","94.20","113.00","91.30","109.35","15.15","16.08","514.30","537.29","113.00","34.50","196.34","21.64"
"CREDITACC","536.95","616.00","535.00","603.00","71.05","13.36","31.32","183.17","825.00","494.70","-21.43","-2.69"
"IDBI","48.50","55.00","47.95","53.95","5.30","10.89","402.02","209.17","65.25","26.35","29.07","-0.09"
"TV18BRDCST","45.00","50.75","44.50","48.90","4.30","9.64","720.42","350.27","52.50","26.25","54.75","6.42"
"IEX","271.00","303.80","269.85","295.20","25.35","9.39","673.52","1,966.08","318.67","66.57","35.07","-62.26"
"AARTIDRUGS","552.80","589.70","548.15","586.85","43.60","8.03","6.93","39.36","841.80","484.00","-24.88","4.43"
"BAJAJELEC","1,151.00","1,169.15","1,096.85","1,129.95","83.45","7.97","21.93","247.18","1,588.95","520.00","80.82","3.41"
"BAJAJCON","190.20","202.25","188.00","201.50","14.20","7.58","38.95","76.68","324.00","179.45","-0.32","-9.17"
"MINDACORP","163.00","176.00","163.00","174.90","11.20","6.84","29.38","50.76","179.85","77.25","101.03","0.23"
"IBREALEST","170.00","181.70","168.70","179.10","9.90","5.85","224.77","393.75","195.90","63.10","160.13","-6.25"
"SEQUENT","171.00","185.00","168.60","180.60","9.60","5.61","188.82","337.53","336.50","144.75","6.11","-2.14"
"INDIANB","152.90","163.40","151.85","162.00","8.60","5.61","41.12","64.60","194.95","74.05","81.11","-9.52"
"HINDCOPPER","123.10","132.65","122.85","131.25","6.95","5.59","59.15","75.80","196.75","43.40","181.35","-1.39"
"IOB","21.80","23.30","21.60","22.95","1.20","5.52","135.70","30.72","29.00","9.85","96.15","6.50"
"GODREJIND","575.65","605.00","573.95","603.00","29.60","5.16","1.50","8.82","652.00","375.00","36.38","-6.29"
"CCL","390.90","412.70","389.40","408.75","19.75","5.08","8.63","35.03","494.80","226.35","53.46","6.31"
"THERMAX","1,730.00","1,943.80","1,729.95","1,841.00","87.90","5.01","8.00","149.47","1,943.80","874.00","100.02","37.62"
"CGPOWER","156.20","165.15","156.20","165.15","7.85","4.99","23.34","38.09","169.50","37.75","650.68","5.19"
"TTML","144.90","148.25","141.00","148.25","7.05","4.99","14.47","21.29","148.25","6.90","1675.45","223.34"
"POLYCAB","2,384.90","2,489.90","2,362.70","2,489.90","116.20","4.90","4.69","114.36","2,648.00","853.80","140.81","0.68"
"IDFCFIRSTB","49.45","52.50","49.00","51.90","2.40","4.85","592.34","303.99","69.30","32.90","34.28","-0.67"
"NBCC","44.60","47.40","44.35","46.70","2.10","4.71","140.42","65.22","59.80","25.60","62.43","-1.58"
"BANKINDIA","55.00","57.50","54.75","57.40","2.55","4.65","96.50","54.32","101.40","45.10","7.79","-11.62"
"APLAPOLLO","930.00","991.90","929.75","986.00","43.20","4.58","10.97","107.14","1,044.70","325.13","-74.06","11.58"
"PHILIPCARB","222.00","234.70","222.00","231.70","9.80","4.42","20.37","47.11","277.30","143.25","37.34","1.53"
"MINDAIND","907.80","955.00","903.05","949.00","40.05","4.41","10.42","97.45","985.00","365.00","137.96","11.72"
"IBULHSGFIN","253.00","264.00","251.30","262.00","11.05","4.40","292.15","754.06","313.70","154.20","31.63","7.53"
