Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"GLENMARK","507.00","532.00","505.05","525.50","17.75","3.50","25.46","133.68","690.95","442.05","-1.87","0.18"
"GRANULES","334.00","345.50","333.00","344.90","9.95","2.97","52.79","179.56","404.80","280.50","-11.90","7.58"
"LAURUSLABS","520.00","534.80","510.65","525.40","9.25","1.79","29.69","155.82","723.75","311.00","59.96","7.09"
"IPCALAB","2,018.10","2,085.20","2,018.10","2,055.00","22.90","1.13","6.97","143.66","2,766.20","1,785.40","-8.87","-5.83"
"CADILAHC","461.90","471.00","461.90","467.50","5.10","1.10","15.51","72.55","673.70","408.35","-0.10","-6.20"
"NATCOPHARM","865.65","872.85","862.55","870.90","6.20","0.72","1.46","12.71","1,189.00","771.50","-10.33","-0.32"
"GLAND","3,593.90","3,619.85","3,561.30","3,600.00","21.25","0.59","0.45","16.32","4,350.00","2,071.00","57.93","-0.67"
"APLLTD","809.00","815.00","800.00","813.50","3.85","0.48","3.13","25.30","1,145.00","720.35","-22.83","4.25"
"SUNPHARMA","754.20","775.00","754.20","760.50","0.75","0.10","29.50","226.34","851.00","539.70","33.53","-5.10"
"PFIZER","4,893.50","4,908.90","4,857.00","4,870.00","1.65","0.03","0.16","7.61","6,175.00","4,330.00","-8.37","-7.07"
"CIPLA","895.00","901.00","891.00","893.30","-1.20","-0.13","9.48","84.90","1,005.00","738.10","17.17","-2.28"
"DRREDDY","4,610.00","4,619.50","4,573.50","4,584.80","-9.45","-0.21","1.61","73.74","5,614.60","4,135.00","-9.34","-4.33"
"AUROPHARMA","708.80","714.00","703.00","703.20","-2.05","-0.29","18.81","132.97","1,063.90","620.50","-20.83","3.87"
"BIOCON","372.95","378.00","370.40","371.25","-1.70","-0.46","17.32","64.68","487.75","314.80","-17.67","6.99"
"LUPIN","885.00","894.45","880.60","883.00","-4.55","-0.51","6.57","58.19","1,267.65","853.50","-7.11","-5.80"
"ABBOTINDIA","18,900.00","18,981.45","18,640.00","18,708.50","-151.00","-0.80","0.07","13.04","23,934.45","13,959.80","21.49","-6.79"
"STAR","466.00","467.80","458.15","459.30","-4.85","-1.04","30.66","141.36","999.00","458.15","-46.02","-16.64"
"TORNTPHARM","3,082.50","3,128.65","3,072.05","3,079.20","-33.60","-1.08","0.68","20.96","3,250.20","2,311.10","15.96","8.14"
"ALKEM","3,451.10","3,516.65","3,396.05","3,414.00","-43.55","-1.26","3.55","123.20","4,070.00","2,540.05","17.46","-4.73"
"DIVISLAB","4,550.00","4,567.75","4,490.00","4,506.00","-70.95","-1.55","7.85","354.07","5,425.10","3,153.30","20.95","-8.99"
