Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"INDIANB","152.90","163.40","151.85","162.00","8.60","5.61","41.12","64.60","194.95","74.05","81.11","-9.52"
"IOB","21.80","23.30","21.60","22.95","1.20","5.52","135.70","30.72","29.00","9.85","96.15","6.50"
"BANKINDIA","55.00","57.50","54.75","57.40","2.55","4.65","96.50","54.32","101.40","45.10","7.79","-11.62"
"J&KBANK","37.40","39.40","37.10","38.85","1.70","4.58","60.27","23.16","48.30","20.25","53.86","-17.60"
"MAHABANK","20.00","20.95","19.70","20.70","0.75","3.76","75.37","15.36","32.00","11.00","33.12","-5.05"
"CENTRALBK","22.60","23.90","22.30","23.40","0.80","3.54","126.74","29.47","29.65","12.20","51.95","4.23"
"UNIONBANK","47.00","49.70","46.00","48.75","1.65","3.50","279.94","135.49","54.80","27.20","43.59","-9.81"
"CANBK","214.70","223.00","212.60","222.30","7.30","3.40","121.69","265.59","247.60","105.20","73.47","-8.44"
"PNB","39.50","41.05","39.25","40.80","1.30","3.29","522.45","209.66","48.20","31.40","3.55","-4.90"
"PSB","16.85","17.70","16.70","17.30","0.45","2.67","8.35","1.44","23.75","12.00","15.72","-4.16"
"UCOBANK","13.40","13.90","13.35","13.75","0.35","2.61","64.32","8.79","16.35","10.75","-0.36","-6.14"
"BANKBARODA","92.20","94.70","91.15","94.25","2.00","2.17","339.83","316.56","108.00","56.20","43.67","-11.38"
"SBIN","488.50","495.95","484.40","494.80","6.15","1.26","132.61","649.33","542.30","248.25","83.02","-6.49"
