Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY PVT BANK","18,927.20","18,961.55","18,794.80","18,910.35","1.30","0.01","1,073.61","3,402.90","30,892.40","4,632.70","11.49","-6.27"
"IDFCFIRSTB","49.45","52.50","49.00","51.90","2.40","4.85","592.34","303.99","69.30","32.90","34.28","-0.67"
"CUB","146.75","150.50","146.35","150.20","4.20","2.88","24.96","37.18","189.80","142.15","-14.10","-11.91"
"FEDERALBNK","90.75","92.90","90.00","92.35","1.55","1.71","96.59","88.53","107.65","57.65","38.66","-9.51"
"ICICIBANK","756.50","759.80","751.05","757.35","2.35","0.31","76.28","576.09","867.00","488.20","48.06","-3.71"
"HDFCBANK","1,524.90","1,528.00","1,508.45","1,524.00","-2.85","-0.19","38.90","591.75","1,725.00","1,342.00","8.30","-3.07"
"INDUSINDBK","960.00","968.00","938.00","944.00","-2.40","-0.25","66.05","627.70","1,242.00","789.00","1.67","-11.63"
"RBLBANK","197.20","199.25","195.75","198.50","-0.55","-0.28","51.84","102.33","274.30","155.60","-16.17","-8.63"
"BANDHANBNK","283.20","283.40","278.40","280.00","-1.80","-0.64","40.60","113.84","430.70","259.25","-29.99","-8.77"
"AXISBANK","690.10","691.95","683.75","687.50","-6.45","-0.93","55.50","381.54","866.90","568.40","8.40","-7.72"
"KOTAKBANK","1,915.00","1,920.00","1,888.50","1,897.00","-19.35","-1.01","30.55","579.95","2,253.00","1,626.00","0.71","-9.55"
